Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Nov 15, 2018",48.11,47.01,48.24,46.72,29.58M
"Nov 14, 2018",47.09,47.85,47.97,46.89,25.63M
"Nov 13, 2018",47.39,46.99,48.25,46.99,29.32M
"Nov 12, 2018",46.65,47.71,47.8,46.6,24.41M
"Nov 09, 2018",48.11,48.79,49.02,47.87,21.76M
"Nov 08, 2018",48.99,48.49,49.29,48.46,26.58M
"Nov 07, 2018",48.72,47.63,48.75,47.59,29.91M
"Nov 06, 2018",47.25,47.8,47.92,47.03,23.84M
"Nov 05, 2018",47.97,47.34,48.25,46.92,23.75M
"Nov 02, 2018",47.11,48.13,48.25,46.75,30.76M
"Nov 01, 2018",48.22,46.95,48.47,46.86,28.34M
"Oct 31, 2018",46.88,48.29,48.56,46.83,33.37M
"Oct 30, 2018",47.76,45.53,47.88,45.46,43.98M
"Oct 29, 2018",45.4,46.5,46.75,44.44,35.73M
"Oct 26, 2018",45.69,45.59,46.44,44.7,67.28M
"Oct 25, 2018",44.31,43.54,44.94,43.28,48.26M
"Oct 24, 2018",42.42,44.16,44.36,42.36,33.63M
"Oct 23, 2018",44.5,44.18,45.09,43.91,38.59M
"Oct 22, 2018",45.01,44.5,45.34,44.1,34.51M
"Oct 19, 2018",44.0,45.02,45.18,43.86,28.37M
"Oct 18, 2018",44.97,45.65,45.75,44.83,26.64M
"Oct 17, 2018",45.89,46.0,46.33,45.54,23.12M
"Oct 16, 2018",45.94,44.9,46.01,44.83,21.47M
"Oct 15, 2018",44.53,44.63,45.14,44.44,21.63M
"Oct 12, 2018",44.88,45.27,45.34,44.23,32.09M
"Oct 11, 2018",44.23,45.15,45.61,43.73,43.65M
"Oct 10, 2018",44.8,46.06,46.12,44.8,43.11M
"Oct 09, 2018",46.55,47.18,47.62,46.54,23.29M
"Oct 08, 2018",47.03,46.96,47.35,46.52,19.38M
"Oct 05, 2018",47.03,48.23,48.34,46.66,28.90M
"Oct 04, 2018",48.13,48.84,48.86,47.62,30.11M
"Oct 03, 2018",48.76,48.62,49.72,48.56,39.21M
"Oct 02, 2018",48.1,47.51,48.88,47.32,42.12M
"Oct 01, 2018",46.45,46.79,47.22,46.2,23.80M
"Sep 28, 2018",47.29,45.62,47.75,45.46,46.22M
"Sep 27, 2018",45.88,45.91,46.16,45.73,15.42M
"Sep 26, 2018",45.7,46.04,46.3,45.58,23.96M
"Sep 25, 2018",45.91,46.22,46.39,45.8,23.39M
"Sep 24, 2018",46.91,46.31,47.0,46.15,17.85M
"Sep 21, 2018",46.66,47.12,47.42,46.37,52.65M
"Sep 20, 2018",47.2,46.78,47.36,46.52,22.00M
"Sep 19, 2018",46.15,46.09,46.44,45.89,15.92M
"Sep 18, 2018",46.1,45.58,46.53,45.41,20.53M
"Sep 17, 2018",45.42,45.29,45.9,45.19,17.60M
"Sep 14, 2018",45.54,45.78,45.97,45.35,23.00M
"Sep 13, 2018",45.57,45.68,45.85,45.11,18.66M
"Sep 12, 2018",44.93,44.56,44.98,44.06,29.78M
"Sep 11, 2018",44.93,46.0,46.03,44.89,32.46M
"Sep 10, 2018",46.3,46.56,46.76,46.23,21.52M
"Sep 07, 2018",46.45,46.91,47.48,46.36,25.96M
"Sep 06, 2018",47.26,47.76,47.96,47.21,19.32M
"Sep 05, 2018",47.72,47.75,48.12,47.47,20.86M
"Sep 04, 2018",47.96,48.38,48.43,47.56,15.68M
"Aug 31, 2018",48.43,47.96,48.56,47.92,16.48M
"Aug 30, 2018",48.24,48.52,48.83,48.09,16.42M
"Aug 29, 2018",48.75,48.7,48.86,48.4,13.48M
"Aug 28, 2018",48.57,48.55,48.79,48.31,13.47M
"Aug 27, 2018",48.35,48.0,48.39,47.63,17.17M
"Aug 24, 2018",47.66,47.29,47.89,47.08,18.21M
"Aug 23, 2018",46.98,46.86,47.17,46.71,31.34M
"Aug 22, 2018",47.05,47.25,47.35,46.92,23.18M
"Aug 21, 2018",47.62,46.66,47.85,46.64,19.25M
"Aug 20, 2018",46.5,47.05,47.12,46.19,24.33M
"Aug 17, 2018",47.1,47.0,47.39,46.33,26.38M
"Aug 16, 2018",47.17,47.75,47.95,47.05,24.36M
"Aug 15, 2018",47.46,47.78,48.0,46.9,26.74M
"Aug 14, 2018",48.12,48.67,48.76,47.65,23.06M
"Aug 13, 2018",48.45,48.92,49.24,48.38,17.07M
"Aug 10, 2018",48.85,48.51,49.17,48.3,28.71M
"Aug 09, 2018",50.14,49.86,50.6,49.72,23.80M
